state,year,n_reps,state_name,total_reps,relative_rep_power
RI,1880,2,Rhode Island,325,0.006153846153846154
SC,1880,7,South Carolina,325,0.021538461538461538
SD,1880,NA,South Dakota,325,NA
TN,1880,10,Tennessee,325,0.03076923076923077
TX,1880,11,Texas,325,0.033846153846153845
UT,1880,NA,Utah,325,NA
VT,1880,2,Vermont,325,0.006153846153846154
VA,1880,10,Virginia,325,0.03076923076923077
WA,1880,NA,Washington,325,NA
WV,1880,4,West Virginia,325,0.012307692307692308
WI,1880,9,Wisconsin,325,0.027692307692307693
WY,1880,NA,Wyoming,325,NA
AL,1890,9,Alabama,356,0.025280898876404494
AK,1890,NA,Alaska,356,NA
AZ,1890,NA,Arizona,356,NA
AR,1890,6,Arkansas,356,0.016853932584269662
CA,1890,7,California,356,0.019662921348314606
CO,1890,2,Colorado,356,0.0056179775280898875
CT,1890,4,Connecticut,356,0.011235955056179775
DE,1890,1,Delaware,356,0.0028089887640449437
FL,1890,2,Florida,356,0.0056179775280898875
GA,1890,11,Georgia,356,0.03089887640449438
HI,1890,NA,Hawaii,356,NA
ID,1890,1,Idaho,356,0.0028089887640449437
IL,1890,22,Illinois,356,0.06179775280898876
IN,1890,13,Indiana,356,0.03651685393258427
IA,1890,11,Iowa,356,0.03089887640449438
KS,1890,8,Kansas,356,0.02247191011235955
KY,1890,11,Kentucky,356,0.03089887640449438
LA,1890,6,Louisiana,356,0.016853932584269662
ME,1890,4,Maine,356,0.011235955056179775
MD,1890,6,Maryland,356,0.016853932584269662
MA,1890,13,Massachusetts,356,0.03651685393258427
MI,1890,12,Michigan,356,0.033707865168539325
MN,1890,7,Minnesota,356,0.019662921348314606
MS,1890,7,Mississippi,356,0.019662921348314606
MO,1890,15,Missouri,356,0.042134831460674156
MT,1890,1,Montana,356,0.0028089887640449437
NE,1890,6,Nebraska,356,0.016853932584269662
NV,1890,1,Nevada,356,0.0028089887640449437
NH,1890,2,New Hampshire,356,0.0056179775280898875
NJ,1890,8,New Jersey,356,0.02247191011235955
NM,1890,NA,New Mexico,356,NA
NY,1890,34,New York,356,0.09550561797752809
NC,1890,9,North Carolina,356,0.025280898876404494
ND,1890,1,North Dakota,356,0.0028089887640449437
OH,1890,21,Ohio,356,0.05898876404494382
OK,1890,NA,Oklahoma,356,NA
OR,1890,2,Oregon,356,0.0056179775280898875
PA,1890,30,Pennsylvania,356,0.08426966292134831
RI,1890,2,Rhode Island,356,0.0056179775280898875
SC,1890,7,South Carolina,356,0.019662921348314606
SD,1890,2,South Dakota,356,0.0056179775280898875
TN,1890,10,Tennessee,356,0.028089887640449437
TX,1890,13,Texas,356,0.03651685393258427
UT,1890,NA,Utah,356,NA
VT,1890,2,Vermont,356,0.0056179775280898875
VA,1890,10,Virginia,356,0.028089887640449437
WA,1890,2,Washington,356,0.0056179775280898875
WV,1890,4,West Virginia,356,0.011235955056179775
WI,1890,10,Wisconsin,356,0.028089887640449437
WY,1890,1,Wyoming,356,0.0028089887640449437
AL,1900,9,Alabama,386,0.023316062176165803
AK,1900,NA,Alaska,386,NA
AZ,1900,NA,Arizona,386,NA
AR,1900,7,Arkansas,386,0.018134715025906734
CA,1900,8,California,386,0.02072538860103627
CO,1900,3,Colorado,386,0.007772020725388601
CT,1900,5,Connecticut,386,0.012953367875647668
DE,1900,1,Delaware,386,0.0025906735751295338
FL,1900,3,Florida,386,0.007772020725388601
GA,1900,11,Georgia,386,0.02849740932642487
HI,1900,NA,Hawaii,386,NA
ID,1900,1,Idaho,386,0.0025906735751295338
IL,1900,25,Illinois,386,0.06476683937823834
IN,1900,13,Indiana,386,0.03367875647668394
IA,1900,11,Iowa,386,0.02849740932642487
KS,1900,8,Kansas,386,0.02072538860103627
KY,1900,11,Kentucky,386,0.02849740932642487
LA,1900,7,Louisiana,386,0.018134715025906734
ME,1900,4,Maine,386,0.010362694300518135
MD,1900,6,Maryland,386,0.015544041450777202
MA,1900,14,Massachusetts,386,0.03626943005181347
MI,1900,12,Michigan,386,0.031088082901554404
MN,1900,9,Minnesota,386,0.023316062176165803
MS,1900,8,Mississippi,386,0.02072538860103627
MO,1900,16,Missouri,386,0.04145077720207254
MT,1900,1,Montana,386,0.0025906735751295338
NE,1900,6,Nebraska,386,0.015544041450777202
